causa_def|base_code|cod_group
W749|W74|Residual causes
E148|E14|Diabetes
R98X|R98|Residual causes
P77X|P77|Amenable to medical services
P399|P39|Amenable to medical services
D693|D69|Residual causes
K279|K27|Amenable to medical services
K265|K26|Amenable to medical services
G712|G71|Residual causes
D471|D47|Residual causes
W189|W18|Residual causes
W788|W78|Residual causes
D619|D61|Residual causes
I633|I63|Amenable to medical services
K259|K25|Amenable to medical services
N039|N03|Amenable to medical services
P249|P24|Amenable to medical services
G938|G93|Residual causes
J984|J98|Amenable to medical services
E878|E87|Residual causes
K658|K65|Residual causes
B377|B37|Residual causes
O069|O06|Amenable to medical services
I694|I69|Amenable to medical services
B690|B69|Amenable to medical services
Q269|Q26|Amenable to medical services
O141|O14|Amenable to medical services
I200|I20|Ischemic Heart Diseases
J65X|J65|Amenable to medical services
C240|C24|Residual causes
X470|X47|Residual causes
K255|K25|Amenable to medical services
G20X|G20|Residual causes
Q451|Q45|Residual causes
C329|C32|Residual causes
V877|V87|Road traffic accidents
O96X|O96|Amenable to medical services
C221|C22|Residual causes
R960|R96|Residual causes
I600|I60|Amenable to medical services
E106|E10|Diabetes
C629|C62|Amenable to medical services
E669|E66|Residual causes
D539|D53|Residual causes
K829|K82|Residual causes
G122|G12|Residual causes
K805|K80|Amenable to medical services
K264|K26|Amenable to medical services
Q070|Q07|Residual causes
X099|X09|Residual causes
I803|I80|Residual causes
Q205|Q20|Amenable to medical services
P529|P52|Amenable to medical services
C601|C60|Residual causes
K769|K76|Residual causes
C911|C91|Amenable to medical services
J869|J86|Amenable to medical services
E790|E79|Residual causes
C439|C43|Amenable to medical services
X590|X59|Residual causes
B208|B20|Residual causes
Y090|Y09|Homicides
M009|M00|Residual causes
R95X|R95|Residual causes
I083|I08|Amenable to medical services
Q441|Q44|Residual causes
C154|C15|Residual causes
G309|G30|Residual causes
K862|K86|Residual causes
K589|K58|Residual causes
Q442|Q44|Residual causes
Q250|Q25|Amenable to medical services
C749|C74|Residual causes
I080|I08|Amenable to medical services
F106|F10|Residual causes
B171|B17|Amenable to medical services
C442|C44|Amenable to medical services
G049|G04|Residual causes
P219|P21|Amenable to medical services
P229|P22|Amenable to medical services
B238|B23|Residual causes
E742|E74|Residual causes
X994|X99|Homicides
B909|B90|Amenable to medical services
Q917|Q91|Residual causes
M321|M32|Residual causes
G409|G40|Amenable to medical services
I608|I60|Amenable to medical services
N398|N39|Residual causes
B190|B19|Amenable to medical services
N302|N30|Residual causes
C919|C91|Amenable to medical services
C819|C81|Amenable to medical services
M808|M80|Residual causes
K562|K56|Residual causes
B169|B16|Amenable to medical services
D352|D35|Residual causes
P005|P00|Amenable to medical services
J47X|J47|Amenable to medical services
P523|P52|Amenable to medical services
V800|V80|Road traffic accidents
E278|E27|Residual causes
C52X|C52|Residual causes
E111|E11|Diabetes
I132|I13|Amenable to medical services
G710|G71|Residual causes
W340|W34|Residual causes
C479|C47|Residual causes
K297|K29|Residual causes
E144|E14|Diabetes
C921|C92|Amenable to medical services
X598|X59|Residual causes
P90X|P90|Amenable to medical services
J069|J06|Amenable to medical services
I634|I63|Amenable to medical services
I131|I13|Amenable to medical services
K800|K80|Amenable to medical services
A498|A49|Residual causes
D480|D48|Residual causes
G919|G91|Residual causes
I424|I42|Residual causes
W830|W83|Residual causes
C499|C49|Residual causes
F069|F06|Residual causes
C248|C24|Residual causes
I519|I51|Residual causes
K316|K31|Residual causes
I713|I71|Residual causes
K552|K55|Residual causes
R54X|R54|Residual causes
E660|E66|Residual causes
E781|E78|Residual causes
E271|E27|Residual causes
D259|D25|Residual causes
C220|C22|Residual causes
V196|V19|Road traffic accidents
E109|E10|Diabetes
I609|I60|Amenable to medical services
V586|V58|Road traffic accidents
V031|V03|Road traffic accidents
W854|W85|Residual causes
I776|I77|Residual causes
W409|W40|Residual causes
C07X|C07|Residual causes
W782|W78|Residual causes
M359|M35|Residual causes
W190|W19|Residual causes
Q209|Q20|Amenable to medical services
I38X|I38|Residual causes
J941|J94|Amenable to medical services
O152|O15|Amenable to medical services
I674|I67|Amenable to medical services
N40X|N40|Residual causes
I692|I69|Amenable to medical services
J182|J18|Amenable to medical services
P285|P28|Amenable to medical services
V059|V05|Road traffic accidents
X789|X78|Residual causes
W400|W40|Residual causes
D589|D58|Residual causes
N133|N13|Residual causes
V092|V09|Road traffic accidents
W818|W81|Residual causes
O149|O14|Amenable to medical services
V149|V14|Road traffic accidents
V299|V29|Road traffic accidents
R090|R09|Residual causes
M819|M81|Residual causes
K275|K27|Amenable to medical services
V041|V04|Road traffic accidents
G319|G31|Residual causes
W209|W20|Residual causes
V279|V27|Road traffic accidents
C469|C46|Residual causes
C55X|C55|Residual causes
P524|P52|Amenable to medical services
J159|J15|Amenable to medical services
V021|V02|Road traffic accidents
C384|C38|Residual causes
Y094|Y09|Homicides
C759|C75|Residual causes
I620|I62|Amenable to medical services
C222|C22|Residual causes
G936|G93|Residual causes
G610|G61|Residual causes
E875|E87|Residual causes
A064|A06|Amenable to medical services
P960|P96|Amenable to medical services
R100|R10|Residual causes
D329|D32|Residual causes
G931|G93|Residual causes
D469|D46|Residual causes
K759|K75|Residual causes
E40X|E40|Residual causes
W180|W18|Residual causes
E110|E11|Diabetes
I741|I74|Residual causes
Q433|Q43|Residual causes
C900|C90|Residual causes
V090|V09|Road traffic accidents
V799|V79|Road traffic accidents
X990|X99|Homicides
X090|X09|Residual causes
K593|K59|Residual causes
A199|A19|Amenable to medical services
P243|P24|Amenable to medical services
V239|V23|Road traffic accidents
W708|W70|Residual causes
Q054|Q05|Residual causes
I691|I69|Amenable to medical services
V549|V54|Road traffic accidents
Y344|Y34|Residual causes
N159|N15|Residual causes
B018|B01|Residual causes
K30X|K30|Residual causes
J849|J84|Amenable to medical services
C419|C41|Residual causes
K761|K76|Residual causes
P271|P27|Amenable to medical services
E871|E87|Residual causes
W760|W76|Residual causes
G969|G96|Residual causes
W849|W84|Residual causes
Q614|Q61|Residual causes
P201|P20|Amenable to medical services
V294|V29|Road traffic accidents
V449|V44|Road traffic accidents
P290|P29|Amenable to medical services
X708|X70|Residual causes
P780|P78|Amenable to medical services
P809|P80|Amenable to medical services
W748|W74|Residual causes
J81X|J81|Amenable to medical services
X749|X74|Residual causes
C837|C83|Residual causes
P60X|P60|Amenable to medical services
B181|B18|Amenable to medical services
Q282|Q28|Amenable to medical services
C140|C14|Residual causes
E141|E14|Diabetes
P248|P24|Amenable to medical services
W129|W12|Residual causes
X720|X72|Residual causes
Q059|Q05|Residual causes
K833|K83|Residual causes
P543|P54|Amenable to medical services
W738|W73|Residual causes
W859|W85|Residual causes
X960|X96|Homicides
J158|J15|Amenable to medical services
P740|P74|Amenable to medical services
D432|D43|Residual causes
W170|W17|Residual causes
C481|C48|Residual causes
I209|I20|Ischemic Heart Diseases
W740|W74|Residual causes
A069|A06|Amenable to medical services
N200|N20|Residual causes
K256|K25|Amenable to medical services
I830|I83|Residual causes
X959|X95|Homicides
W109|W10|Residual causes
B206|B20|Residual causes
D372|D37|Residual causes
X709|X70|Residual causes
P781|P78|Amenable to medical services
X238|X23|Residual causes
K37X|K37|Amenable to medical services
M139|M13|Residual causes
K632|K63|Residual causes
K743|K74|Residual causes
C268|C26|Residual causes
C258|C25|Residual causes
C260|C26|Residual causes
K20X|K20|Residual causes
I720|I72|Residual causes
K579|K57|Residual causes
E780|E78|Residual causes
W399|W39|Residual causes
N309|N30|Residual causes
D531|D53|Residual causes
D694|D69|Residual causes
W769|W76|Residual causes
C787|C78|Residual causes
W879|W87|Residual causes
P611|P61|Amenable to medical services
Y004|Y00|Homicides
W644|W64|Residual causes
G09X|G09|Residual causes
K639|K63|Residual causes
J029|J02|Amenable to medical services
A060|A06|Amenable to medical services
X954|X95|Homicides
O622|O62|Amenable to medical services
F209|F20|Residual causes
V539|V53|Road traffic accidents
K704|K70|Cirrhosis
K409|K40|Amenable to medical services
W840|W84|Residual causes
K225|K22|Residual causes
C493|C49|Residual causes
R17X|R17|Residual causes
C210|C21|Amenable to medical services
K420|K42|Amenable to medical services
K659|K65|Residual causes
A499|A49|Residual causes
I959|I95|Residual causes
G042|G04|Residual causes
K469|K46|Amenable to medical services
Q056|Q05|Residual causes
A020|A02|Amenable to medical services
P269|P26|Amenable to medical services
Q203|Q20|Amenable to medical services
P53X|P53|Amenable to medical services
K830|K83|Residual causes
J628|J62|Amenable to medical services
A049|A04|Amenable to medical services
Q790|Q79|Residual causes
J939|J93|Amenable to medical services
D320|D32|Residual causes
E41X|E41|Residual causes
W130|W13|Residual causes
P283|P28|Amenable to medical services
P236|P23|Amenable to medical services
C969|C96|Residual causes
Y044|Y04|Homicides
Q240|Q24|Amenable to medical services
C578|C57|Residual causes
N151|N15|Residual causes
I249|I24|Ischemic Heart Diseases
G039|G03|Residual causes
K052|K05|Residual causes
I891|I89|Residual causes
Q251|Q25|Amenable to medical services
I319|I31|Residual causes
W179|W17|Residual causes
I612|I61|Amenable to medical services
Q049|Q04|Residual causes
X910|X91|Homicides
P280|P28|Amenable to medical services
K311|K31|Residual causes
O249|O24|Amenable to medical services
W173|W17|Residual causes
E038|E03|Amenable to medical services
V589|V58|Road traffic accidents
J961|J96|Amenable to medical services
D45X|D45|Residual causes
P024|P02|Amenable to medical services
E059|E05|Amenable to medical services
D409|D40|Residual causes
A170|A17|Amenable to medical services
D487|D48|Residual causes
E877|E87|Residual causes
Q602|Q60|Residual causes
C950|C95|Amenable to medical services
D489|D48|Residual causes
C164|C16|Amenable to medical services
X640|X64|Residual causes
I714|I71|Residual causes
K623|K62|Residual causes
C609|C60|Residual causes
E120|E12|Diabetes
K571|K57|Residual causes
W554|W55|Residual causes
I422|I42|Residual causes
I702|I70|Residual causes
N289|N28|Residual causes
V249|V24|Road traffic accidents
O723|O72|Amenable to medical services
D689|D68|Residual causes
D361|D36|Residual causes
K291|K29|Residual causes
E129|E12|Diabetes
K750|K75|Residual causes
P550|P55|Amenable to medical services
K650|K65|Residual causes
G700|G70|Residual causes
P704|P70|Amenable to medical services
E162|E16|Residual causes
Q438|Q43|Residual causes
V598|V59|Road traffic accidents
C959|C95|Amenable to medical services
K509|K50|Residual causes
I129|I12|Amenable to medical services
Q234|Q23|Amenable to medical services
Q999|Q99|Residual causes
K802|K80|Amenable to medical services
Y441|Y44|Residual causes
C753|C75|Residual causes
K290|K29|Residual causes
P025|P02|Amenable to medical services
M349|M34|Residual causes
J40X|J40|Amenable to medical services
G403|G40|Amenable to medical services
A085|A08|Amenable to medical services
I778|I77|Residual causes
D483|D48|Residual causes
I743|I74|Residual causes
M103|M10|Residual causes
I499|I49|Residual causes
N059|N05|Amenable to medical services
J129|J12|Amenable to medical services
G404|G40|Amenable to medical services
C300|C30|Residual causes
N139|N13|Residual causes
N498|N49|Residual causes
P942|P94|Amenable to medical services
L984|L98|Residual causes
I514|I51|Residual causes
X314|X31|Residual causes
I252|I25|Ischemic Heart Diseases
C029|C02|Residual causes
C795|C79|Residual causes
Q208|Q20|Amenable to medical services
I615|I61|Amenable to medical services
C19X|C19|Amenable to medical services
O730|O73|Amenable to medical services
E870|E87|Residual causes
M329|M32|Residual causes
X448|X44|Residual causes
W698|W69|Residual causes
F192|F19|Residual causes
X098|X09|Residual causes
I671|I67|Amenable to medical services
Q893|Q89|Residual causes
G406|G40|Amenable to medical services
C541|C54|Residual causes
Y202|Y20|Residual causes
X998|X99|Homicides
G589|G58|Residual causes
V496|V49|Road traffic accidents
V289|V28|Road traffic accidents
I517|I51|Residual causes
K319|K31|Residual causes
K529|K52|Residual causes
I739|I73|Residual causes
A35X|A35|Amenable to medical services
F072|F07|Residual causes
Q792|Q79|Residual causes
E101|E10|Diabetes
I330|I33|Residual causes
W349|W34|Residual causes
C180|C18|Amenable to medical services
X445|X44|Residual causes
X494|X49|Residual causes
B259|B25|Residual causes
F193|F19|Residual causes
I250|I25|Ischemic Heart Diseases
J157|J15|Amenable to medical services
O150|O15|Amenable to medical services
X991|X99|Homicides
C051|C05|Residual causes
P073|P07|Amenable to medical services
K811|K81|Amenable to medical services
X950|X95|Homicides
G060|G06|Residual causes
R64X|R64|Residual causes
X999|X99|Homicides
X914|X91|Homicides
I693|I69|Amenable to medical services
K561|K56|Residual causes
R58X|R58|Residual causes
R092|R09|Residual causes
X499|X49|Residual causes
W844|W84|Residual causes
C241|C24|Residual causes
E035|E03|Amenable to medical services
Y098|Y09|Homicides
Q212|Q21|Amenable to medical services
X958|X95|Homicides
B210|B21|Residual causes
B200|B20|Residual causes
Q858|Q85|Residual causes
Q040|Q04|Residual causes
R571|R57|Residual causes
B461|B46|Residual causes
K739|K73|Residual causes
Q019|Q01|Residual causes
Q780|Q78|Residual causes
R568|R56|Residual causes
I829|I82|Residual causes
C069|C06|Residual causes
C170|C17|Residual causes
Q042|Q04|Residual causes
X318|X31|Residual causes
K745|K74|Residual causes
Q870|Q87|Residual causes
A394|A39|Residual causes
Y249|Y24|Residual causes
E031|E03|Amenable to medical services
Y348|Y34|Residual causes
I809|I80|Residual causes
V489|V48|Road traffic accidents
K768|K76|Residual causes
Y018|Y01|Homicides
C494|C49|Residual causes
X918|X91|Homicides
Q390|Q39|Residual causes
X440|X44|Residual causes
X705|X70|Residual causes
X444|X44|Residual causes
A390|A39|Residual causes
Q248|Q24|Amenable to medical services
B212|B21|Residual causes
I613|I61|Amenable to medical services
P052|P05|Amenable to medical services
X919|X91|Homicides
W842|W84|Residual causes
P549|P54|Amenable to medical services
B182|B18|Amenable to medical services
X495|X49|Residual causes
Y204|Y20|Residual causes
X595|X59|Residual causes
P968|P96|Amenable to medical services
Q043|Q04|Residual causes
K767|K76|Residual causes
D62X|D62|Residual causes
M340|M34|Residual causes
Y349|Y34|Residual causes
C319|C31|Residual causes
W949|W94|Residual causes
N735|N73|Residual causes
Y240|Y24|Residual causes
P961|P96|Amenable to medical services
V909|V90|Road traffic accidents
N048|N04|Amenable to medical services
I00X|I00|Amenable to medical services
W680|W68|Residual causes
G822|G82|Residual causes
Y218|Y21|Residual causes
Y140|Y14|Residual causes
E785|E78|Residual causes
D440|D44|Residual causes
X748|X74|Residual causes
C929|C92|Amenable to medical services
J385|J38|Residual causes
C445|C44|Amenable to medical services
C33X|C33|Lung cancer
C840|C84|Residual causes
K822|K82|Residual causes
P38X|P38|Amenable to medical services
D696|D69|Residual causes
E055|E05|Amenable to medical services
G031|G03|Residual causes
W318|W31|Residual causes
J850|J85|Amenable to medical services
P579|P57|Amenable to medical services
B384|B38|Residual causes
C459|C45|Residual causes
I629|I62|Amenable to medical services
A182|A18|Amenable to medical services
X592|X59|Residual causes
B389|B38|Residual causes
C530|C53|Amenable to medical services
I442|I44|Residual causes
X490|X49|Residual causes
A879|A87|Residual causes
B251|B25|Residual causes
C139|C13|Residual causes
O993|O99|Amenable to medical services
B201|B20|Residual causes
W344|W34|Residual causes
X679|X67|Residual causes
Q419|Q41|Residual causes
P559|P55|Amenable to medical services
I494|I49|Residual causes
N26X|N26|Amenable to medical services
Y190|Y19|Residual causes
R688|R68|Residual causes
M351|M35|Residual causes
W848|W84|Residual causes
P702|P70|Amenable to medical services
Y089|Y08|Homicides
V939|V93|Road traffic accidents
R630|R63|Residual causes
E115|E11|Diabetes
W348|W34|Residual causes
W878|W87|Residual causes
C398|C39|Residual causes
C833|C83|Residual causes
J310|J31|Residual causes
E756|E75|Residual causes
I443|I44|Residual causes
C768|C76|Residual causes
C678|C67|Amenable to medical services
L930|L93|Residual causes
I828|I82|Residual causes
N136|N13|Residual causes
K869|K86|Residual causes
Q204|Q20|Amenable to medical services
K250|K25|Amenable to medical services
O998|O99|Amenable to medical services
D481|D48|Residual causes
E079|E07|Amenable to medical services
K222|K22|Residual causes
E876|E87|Residual causes
B011|B01|Residual causes
C699|C69|Amenable to medical services
Q339|Q33|Residual causes
G728|G72|Residual causes
E15X|E15|Residual causes
P363|P36|Amenable to medical services
P059|P05|Amenable to medical services
Q901|Q90|Residual causes
B388|B38|Residual causes
B900|B90|Amenable to medical services
K430|K43|Amenable to medical services
D444|D44|Residual causes
D760|D76|Residual causes
M623|M62|Residual causes
D330|D33|Residual causes
W499|W49|Residual causes
C383|C38|Residual causes
I255|I25|Ischemic Heart Diseases
A183|A18|Amenable to medical services
X940|X94|Homicides
C755|C75|Residual causes
W138|W13|Residual causes
P026|P02|Amenable to medical services
D688|D68|Residual causes
Q850|Q85|Residual causes
B189|B18|Amenable to medical services
L080|L08|Residual causes
I710|I71|Residual causes
I471|I47|Residual causes
A169|A16|Amenable to medical services
C414|C41|Residual causes
P700|P70|Amenable to medical services
N049|N04|Amenable to medical services
W765|W76|Residual causes
K500|K50|Residual causes
D015|D01|Residual causes
X089|X08|Residual causes
K573|K57|Residual causes
X955|X95|Homicides
I429|I42|Residual causes
B205|B20|Residual causes
C491|C49|Residual causes
N140|N14|Residual causes
K229|K22|Residual causes
C119|C11|Residual causes
I718|I71|Residual causes
X498|X49|Residual causes
Y210|Y21|Residual causes
V529|V52|Road traffic accidents
A181|A18|Amenable to medical services
G301|G30|Residual causes
Q213|Q21|Amenable to medical services
C444|C44|Amenable to medical services
Y119|Y11|Residual causes
E102|E10|Diabetes
F153|F15|Residual causes
P350|P35|Amenable to medical services
C821|C82|Residual causes
Q793|Q79|Residual causes
G473|G47|Residual causes
W730|W73|Residual causes
I130|I13|Amenable to medical services
E230|E23|Residual causes
Y008|Y00|Homicides
Y248|Y24|Residual causes
V970|V97|Road traffic accidents
I606|I60|Amenable to medical services
K294|K29|Residual causes
D374|D37|Residual causes
B213|B21|Residual causes
P741|P74|Amenable to medical services
I092|I09|Amenable to medical services
K720|K72|Residual causes
I081|I08|Amenable to medical services
P261|P26|Amenable to medical services
I516|I51|Residual causes
Q764|Q76|Residual causes
O980|O98|Amenable to medical services
M313|M31|Residual causes
G048|G04|Residual causes
Q677|Q67|Residual causes
I618|I61|Amenable to medical services
V480|V48|Road traffic accidents
V698|V69|Road traffic accidents
L97X|L97|Residual causes
W239|W23|Residual causes
X949|X94|Homicides
Y208|Y20|Residual causes
B382|B38|Residual causes
B370|B37|Residual causes
M512|M51|Residual causes
P221|P22|Amenable to medical services
D500|D50|Residual causes
F101|F10|Residual causes
Q246|Q24|Amenable to medical services
X428|X42|Residual causes
C951|C95|Amenable to medical services
C839|C83|Residual causes
P278|P27|Amenable to medical services
V959|V95|Road traffic accidents
X964|X96|Homicides
K564|K56|Residual causes
J948|J94|Amenable to medical services
W184|W18|Residual causes
E833|E83|Residual causes
K519|K51|Residual causes
N419|N41|Residual causes
Y079|Y07|Homicides
P599|P59|Amenable to medical services
Q061|Q06|Residual causes
X429|X42|Residual causes
W874|W87|Residual causes
G959|G95|Residual causes
D439|D43|Residual causes
I729|I72|Residual causes
G729|G72|Residual causes
B227|B22|Residual causes
D464|D46|Residual causes
K831|K83|Residual causes
Q410|Q41|Residual causes
O713|O71|Amenable to medical services
I518|I51|Residual causes
A309|A30|Residual causes
B371|B37|Residual causes
Y034|Y03|Homicides
D467|D46|Residual causes
K716|K71|Residual causes
X478|X47|Residual causes
D383|D38|Residual causes
G913|G91|Residual causes
C793|C79|Residual causes
P050|P05|Amenable to medical services
K565|K56|Residual causes
C411|C41|Residual causes
E512|E51|Residual causes
Q795|Q79|Residual causes
M339|M33|Residual causes
F191|F19|Residual causes
C348|C34|Lung cancer
H663|H66|Residual causes
C310|C31|Residual causes
Q444|Q44|Residual causes
K404|K40|Amenable to medical services
I742|I74|Residual causes
F103|F10|Residual causes
Q898|Q89|Residual causes
Q774|Q77|Residual causes
Y872|Y87|Residual causes
P701|P70|Amenable to medical services
Y244|Y24|Residual causes
Y334|Y33|Residual causes
I071|I07|Amenable to medical services
P038|P03|Amenable to medical services
N281|N28|Residual causes
D70X|D70|Residual causes
D410|D41|Residual causes
P112|P11|Amenable to medical services
K669|K66|Residual causes
C01X|C01|Residual causes
F152|F15|Residual causes
A171|A17|Amenable to medical services
D509|D50|Residual causes
P292|P29|Amenable to medical services
B465|B46|Residual causes
I359|I35|Residual causes
F190|F19|Residual causes
Q891|Q89|Residual causes
W870|W87|Residual causes
N359|N35|Residual causes
K402|K40|Amenable to medical services
K804|K80|Amenable to medical services
P560|P56|Amenable to medical services
X300|X30|Residual causes
X309|X30|Residual causes
X308|X30|Residual causes
J860|J86|Amenable to medical services
K223|K22|Residual causes
I749|I74|Residual causes
X250|X25|Residual causes
K861|K86|Residual causes
X420|X42|Residual causes
W673|W67|Residual causes
Y599|Y59|Residual causes
W948|W94|Residual causes
X780|X78|Residual causes
V284|V28|Road traffic accidents
B203|B20|Residual causes
K758|K75|Residual causes
C148|C14|Residual causes
X000|X00|Residual causes
P769|P76|Amenable to medical services
P284|P28|Amenable to medical services
B159|B15|Amenable to medical services
